si	SCONJ	si
suis	AUX	être
,	PUNCT	,
La	DET	le
forces	NOUN	force
plusieurs	DET	plusieurs
le	DET	le
A	AUX	avoir
gros	ADJ	gros
premiers	ADJ	premier
les	DET	le
train	NOUN	train
la	DET	le
Larkin	PROPN	Larkin
;	PUNCT	;
une	DET	un
nous	PRON	nous
une	DET	un
moi	PRON	moi
est	AUX	être
un	DET	un
engloutissement	NOUN	engloutissement
qu'	SCONJ	que
ferme	VERB	ferme
métier	NOUN	métier
Golo	VERB	golo
tu	PRON	tu
alors	ADV	alors
démasquer	VERB	démasquer
de	ADP	de
grande	ADJ	grand
travaillaient	VERB	travailler
.	PUNCT	.
ou	CCONJ	ou
de	ADP	de
y	PRON	y
...	PUNCT	...
ce	DET	ce
bain	NOUN	bain
surnommé	VERB	surnommer
prétendait	VERB	prétendre
journaux	NOUN	journal
source	NOUN	source
.	PUNCT	.
détourner	VERB	détourner
Elle	PRON	lui
.	PUNCT	.
exaspéré	VERB	exaspérer
tracés	VERB	tracer
je	PRON	je
on	PRON	on
est	AUX	être
ensemble	ADJ	ensembl
pour	ADP	pour
coup	NOUN	coup
,	PUNCT	,
vouloir	VERB	vouloir
le	PRON	le
n'	ADV	n'
sa	DET	son
habitude	NOUN	habitude
pas	ADV	pas
est	AUX	être
pour	ADP	pour
sur	ADP	sur
çà	PROPN	çà
avoir	VERB	avoir
mes	DET	mon
une	DET	un
volière	NOUN	volière
à	ADP	à
mélangé	VERB	mélanger
—	PUNCT	—
fois	NOUN	fois
pieds	NOUN	pied
m'	PRON	me
à	ADP	à
aux	ADP	à
réfrigérateur	NOUN	réfrigérateur
rire	NOUN	rire
voitures	NOUN	voiture
à	ADP	à
,	PUNCT	,
les	DET	le
.	PUNCT	.
,	PUNCT	,
à	ADP	à
été	AUX	être
vient	VERB	venir
mot	NOUN	mot
.	PUNCT	.
livre	NOUN	livre
sauvetage	NOUN	sauvetage
heureuse	ADJ	heureux
déjeuner	ADJ	déjeuner
et	CCONJ	et
est	AUX	être
J'	PRON	je
quelque	DET	quelque
je	PRON	je
yeux	NOUN	oeil
pas	ADV	pas
marche	VERB	marche
.	PUNCT	.
s'	SCONJ	s'
les	DET	le
une	DET	un
vite	ADV	vite
l'	PRON	l'
,	PUNCT	,
question	NOUN	question
éternelle	VERB	éternelle
il	PRON	il
.	PUNCT	.
une	DET	un
de	ADP	de
Mémoire	NOUN	mémoire
atteindrait	VERB	atteindre
est	AUX	être
souvenir	NOUN	souvenir
essouffle	VERB	essouffle
